"dcterms:identifier";"aorum:gildingGenericTerm";"aorum:gildingSpecificTerm";"aorum:gildingTechnique";"dcterms:spatial";"aorum:harmonise";"aorum:incertitude";"aorum:spatialharmonise";"aorum:spatialincertitude"
"SEm1516AAlBud01";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"PBa1516JvCLou01";"Fond d'or";;;"Pays-Bas (XVIᵉ s)";;0;"Pays-Bas (XVIᵉ s)";0
"SEm1500MSBNG01";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1505MSBNG02";"Vêtement";"Orfroi";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"Ang1528HolJLou01";"Parure";"Bijou";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1528HolJLou02";"Objet";"Orfèvrerie";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1528HolJLou02";"Vêtement";"Brocart";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"Ang1528HolJLou02";"Attribut";"Attribut clérical";"Mixtion (?)";"Angleterre";"Mixtion";1;"Angleterre";0
"PBa1501BosPra";"Inscription";"Chrysographie";"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"SEm1530AnoNG01";"Parure";"Bijou";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"PBa1506QMetNG01";"Décor";"Mobilier";"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1506QMetNG01";"Attribut religieux";"Nimbe";"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1506QMetNG01";"Objet";"Livre";"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1510QMetNG01";"Fond d'or";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1510QMetNG02";"Fond d'or";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1515GDNG01";"Attribut religieux";"Nimbe";"Coquille";"Pays-Bas (XVIᵉ s)";"Coquille";0;"Pays-Bas (XVIᵉ s)";0
"PBa1515GDNG02";"Attribut religieux";"Nimbe";"Coquille";"Pays-Bas (XVIᵉ s)";"Coquille";0;"Pays-Bas (XVIᵉ s)";0
"SEm1525HWertNG01";"Ornements";;"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"Ang1533HHJNG";"Parure";"Bijou";"Mixtion";"Angleterre";"Mixtion";0;"Angleterre";0
"Ang1533HHJNG";"Vêtement";;"Mixtion";"Angleterre";"Mixtion";0;"Angleterre";0
"Ang1533HHJNG";"Attribut";"Regalia";"Mixtion";"Angleterre";"Mixtion";0;"Angleterre";0
"SEm1514HBGNG01";"Parure";"Bijou";"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"PBa1520JMNG";"Fond d'or";;"Bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"PBa1520JMNG";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1520JBellNG";"Fond d'or";;"Bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"PBa1550MFPNG";"Attribut religieux";"Nimbe";"Coquille";"Pays-Bas (XVIᵉ s)";"Coquille";0;"Pays-Bas (XVIᵉ s)";0
"Ita1501AmBNG01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG01";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG01";"Décor";"Architecture";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Vêtement";;"Mixtion (?) ";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Vêtement";;"Coquille (?) ";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Décor";"Architecture";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1501AmBNG02";"Objet";"Orfèvrerie";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500SBottNG";"Autre";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500SBottNG";"Autre";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500BottNG01";"Vêtement";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG01";"Accessoire";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG01";"Ornements";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG01";"Objet";"Orfèvrerie";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG01";"Attribut";"Attribut clérical";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG02";"Vêtement";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG02";"Vêtement";"Orfroi";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500BottNG02";"Objet";"Orfèvrerie";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500AMaNG01";"Vêtement";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1500AMaNG02";"Ornements";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500AMaNG02";"Être humain";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500AMaNG03";"Végétation";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500AMaNG03";"Être humain";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1502LCoetcollNG";"Attribut religieux";"Nimbe";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1502LCoetcollNG";"Autre";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500VFoNG";"Attribut";"Regalia";"Pastiglia";"Péninsule italienne";"Pastiglia";0;"Péninsule italienne";0
"Ita1500VFoNG";"Vêtement";;"Pastiglia";"Péninsule italienne";"Pastiglia";0;"Péninsule italienne";0
"Ita1500NPiNG01";"Vêtement";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1500NPiNG01";"Décor";"Architecture";"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1500NPiNG01";"Végétation";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1500NPiNG02";"Vêtement";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1500NPiNG02";"Végétation";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1500NPiNG02";"Accessoire";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1510BFuNG";"Attribut religieux";"Nimbe";"Mixtion ";"Péninsule italienne";"Mixtion";0;"Péninsule italienne";0
"Ita1510BFuNG";"Attribut religieux";"Nimbe";"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1510BFuNG";"Vêtement";;"Bol";"Péninsule italienne";"Bol";0;"Péninsule italienne";0
"Ita1515AnoNordNG01";"Attribut religieux";"Nimbe";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1515AnoNordNG01";"Vêtement";"Orfroi";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1540GFerrNG01";"Objet";"Orfèvrerie";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"PBa1554FFloKSMKA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1525JCVLou";"Lumière";;"Feuille";"Pays-Bas (XVIᵉ s)";"Feuille";0;"Pays-Bas (XVIᵉ s)";0
"PBa1525BvOBoij";"Inscription";"Chrysographie";"Coquille (?)";"Pays-Bas (XVIᵉ s)";"Coquille";1;"Pays-Bas (XVIᵉ s)";0
"PBa1525BvOBoij";"Attribut religieux";"Nimbe";"Coquille (?)";"Pays-Bas (XVIᵉ s)";"Coquille";1;"Pays-Bas (XVIᵉ s)";0
"PBa1520BvOCPAS";"Décor";"Mobilier";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1521MSMiNYHD";"Fond d'or";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1527JGoMuAPi";"Or";;"Mixtion ";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1527JGoMuAPi";"Or";;"Coquille";"Pays-Bas (XVIᵉ s)";"Coquille";0;"Pays-Bas (XVIᵉ s)";0
"PBa1517JGoLou";"Attribut religieux";"Nimbe";"Coquille";"Pays-Bas (XVIᵉ s)";"Coquille";0;"Pays-Bas (XVIᵉ s)";0
"PBa1517JGoLou";"Cadre";;"Mixtion";"Pays-Bas (XVIᵉ s)";"Mixtion";0;"Pays-Bas (XVIᵉ s)";0
"PBa1517JGoLou";"Armoirie";;"Feuille";"Pays-Bas (XVIᵉ s)";"Feuille";0;"Pays-Bas (XVIᵉ s)";0
"PBa1515JBeerNG01";"Attribut religieux";"Nimbe";"Coquille (?)";"Pays-Bas (XVIᵉ s)";"Coquille";1;"Pays-Bas (XVIᵉ s)";0
"Ita1520LMaNG02";"Attribut religieux";"Nimbe";"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1520LMaNG02";"Lumière";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1520LMaNG02";"Vêtement";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1514LMaNG03";"Attribut religieux";"Nimbe";"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1514LMaNG03";"Vêtement (?)";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1506LMaNG04";"Attribut religieux";"Nimbe";"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1506LMaNG04";"Vêtement (?)";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1522LMaNG05";"Attribut religieux";"Nimbe";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1522LMaNG05";"Décor";"Sculpture";"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1522LMaNG05";"Inscription";"Chrysographie";"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1535GPaNG01";"Attribut";"Attribut guerrier";"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1535GPaNG01";"Autre";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1540MoNG01";"Attribut religieux";"Nimbe";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1540MoNG01";"Objet";"Orfèvrerie";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1540MoNG01";"Autre";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1540MoNG01";"Lumière";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1550ASchNG01";"Être humain";"Cheveux";"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1502RaphNG01";"Vêtement";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1502RaphNG01";"Lumière";;"Bol (?)";"Péninsule italienne";"Bol";1;"Péninsule italienne";0
"Ita1502RaphNG01";"Attribut religieux";"Nimbe";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1505RaphNG02";"Attribut religieux";"Nimbe";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1505RaphNG02";"Attribut religieux";"Attribut d'un saint";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1505RaphNG02";"Vêtement";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1505RaphNG02";"Inscription";"Chrysographie";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1505RaphNG02";"Ornements";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1507RaphNG03";"Attribut religieux";"Nimbe";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1507RaphNG03";"Lumière";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1512BLoNG01";"Vêtement";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1512BLoNG01";"Objet";"Livre";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1538GCarpiNG01";"Attribut religieux";"Nimbe";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1538GCarpiNG01";"Vêtement";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1538GCarpiNG01";"Objet";"Orfèvrerie";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1538GCarpiNG01";"Parure";"Bijou";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1520BacchNG";"Attribut";"Attribut guerrier";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1520BacchNG";"Autre";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1507MarzNG01";"Décor";"Architecture";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500MarzNG02";"Décor";"Architecture";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500MarzNG02";"Autre";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500MarzNG02";"Objet";"Livre";"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1500MarzNG02";"Décor";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500MarzNG02";"Autre";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"SEm1520AWoeMuAPi01";"Fond doré";;;"Pays germaniques";;0;"Pays germaniques";0
"SEm1520AWoeMuAPi02";"Fond doré";;;"Pays germaniques";;0;"Pays germaniques";0
"PBE1598JB1NG";"Attribut religieux";"Nimbe";;"Pays-Bas espagnols (XVIIᵉ s)";;0;"Pays-Bas espagnols (XVIIᵉ s)";0
"PBE1620AnoNG";"Attribut religieux";"Nimbe";;"Pays-Bas espagnols (XVIIᵉ s)";;0;"Pays-Bas espagnols (XVIIᵉ s)";0
"PBE1620AnoNG";"Cadre";;;"Pays-Bas espagnols (XVIIᵉ s)";;0;"Pays-Bas espagnols (XVIIᵉ s)";0
"SEm1615KroGNM01";"Parure";"Bijou";;"Pays germaniques";;0;"Pays germaniques";0
"SEm1530BruyGNM";"Attribut";"Regalia";;"Pays germaniques";;0;"Pays germaniques";0
"SEm1549HBeGNM";"Parure";"Bijou";"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"SEm1549HBeGNM";"Vêtement";;"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"SEm1549HBeGNM";"Attribut";"Attribut guerrier";"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"SEm1525HPlaGNM";"Parure";"Bijou";;"Pays germaniques";;0;"Pays germaniques";0
"SEm1512MSchMuAPi";"Objet";"Orfèvrerie";;"Pays germaniques";;0;"Pays germaniques";0
"SEm1512MSchMuAPi";"Parure";"Bijou";;"Pays germaniques";;0;"Pays germaniques";0
"SEm1512MSchMuAPi";"Vêtement";"Brocart";;"Pays germaniques";;0;"Pays germaniques";0
"SEm1535BBeGNM";"Parure";"Bijou";"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"SEm1535BBeGNM";"Vêtement";;"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"PBa1500GDatLyonMBA01";"Fond d'or";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"Ita1500BMoLyonMBA";"Décor";"Architecture";"Bol (?)";"Péninsule italienne";"Bol";1;"Péninsule italienne";0
"Ita1505PerLyonMBA";"Vêtement";;;"Péninsule italienne";;0;"Péninsule italienne";0
"Ita1505PerLyonMBA";"Attribut religieux";"Attribut d'un saint";"Mixtion";"Péninsule italienne";"Mixtion";0;"Péninsule italienne";0
"Ita1505PerLyonMBA";"Vêtement";"Orfroi";;"Péninsule italienne";;0;"Péninsule italienne";0
"Ita1505PerLyonMBA";"Objet";"Livre";;"Péninsule italienne";;0;"Péninsule italienne";0
"Fra1520AnoLyonMBA01";"Parure";"Bijou";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA01";"Être surnaturel";"Ange";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA01";"Accessoire";;"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA01";"Autre";;"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA01";"Vêtement";;"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA02";"Autre";;"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA02";"Décor";"Architecture";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA03";"Vêtement";;"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA03";"Autre";;"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA03";"Objet";"Orfèvrerie";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA04";"Attribut religieux";"Nimbe";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA04";"Vêtement";;"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA04";"Décor";"Architecture";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA05";"Attribut religieux";"Nimbe";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA05";"Vêtement";;"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA05";"Décor";"Architecture";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA06";"Attribut religieux";"Nimbe";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA06";"Décor";"Architecture";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA06";"Attribut religieux";"Gloire";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA06";"Vêtement";"Orfroi";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA07";"Attribut religieux";"Nimbe";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA07";"Attribut religieux";"Gloire";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA07";"Être surnaturel";"Ange";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA08";"Attribut religieux";"Nimbe";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA08";"Décor";"Architecture";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1505MMahLyonMBA08";"Objet";"Orfèvrerie";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1507ClGLyonMBA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Fra1507ClGLyonMBA";"Vêtement";;"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"Esp1500MSCPaLyonMBA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Esp1500MSCPaLyonMBA01";"Fond d'or";;"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Esp1500MSCPaLyonMBA01";"Vêtement";"Orfroi";"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Esp1500MSCPaLyonMBA01";"Vêtement";;"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Esp1500MSCPaLyonMBA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Esp1500MSCPaLyonMBA02";"Décor";"Mobilier";"Mixtion (?)";"Espagne";"Mixtion";1;"Espagne";0
"Fra1623JStLyonMBA";"Attribut religieux";"Nimbe";"Coquille (?)";"Royaume de France";"Coquille";1;"Royaume de France";0
"Fra1623JStLyonMBA";"Lumière";;"Coquille (?)";"Royaume de France";"Coquille";1;"Royaume de France";0
"SEm1500AnoChMBA01";"Vêtement";;"Coquille (?)";"Pays germaniques";"Coquille";1;"Pays germaniques";0
"SEm1500AnoChMBA01";"Parure";"Bijou";"Coquille (?)";"Pays germaniques";"Coquille";1;"Pays germaniques";0
"SEm1500AnoChMBA01";"Objet";"Orfèvrerie";"Coquille (?)";"Pays germaniques";"Coquille";1;"Pays germaniques";0
"Ita1500AnoChMBA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500AnoChMBA02";"Objet";"Orfèvrerie";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500AnoChMBA02";"Être surnaturel";"Ange";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500AnoChMBA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Esp1530MRSJChMBA01";"Attribut religieux";"Nimbe";"Coquille (?)";"Espagne";"Coquille";1;"Espagne";0
"Esp1530MRSJChMBA02";"Attribut religieux";"Nimbe";"Coquille (?)";"Espagne";"Coquille";1;"Espagne";0
"Fra1637AnoGui";"Objet";"Orfèvrerie";"Mixtion (?)";"Royaume de France";"Mixtion";1;"Royaume de France";0
"PBa1515JvCMuAPi";"Lumière";;"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1557AnoPhiMA";"Fond d'or";;;"Pays-Bas (XVIᵉ s)";;0;"Pays-Bas (XVIᵉ s)";0
"Ita1590FariVerCas";"Inscription";"Chrysographie";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1590FariVerCas";"Autre";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"PU1629RembMH";"Être humain";"Anatomie";"Huile sur cuivre doré";"Provinces-Unies";"Huile sur cuivre doré";0;"Provinces-Unies";0
"PU1656VermMET";"Autre";;"Mixtion (?)";"Provinces-Unies";"Mixtion";1;"Provinces-Unies";0
"PU1657vMierKHM";"Néant";;"Huile sur cuivre doré";"Provinces-Unies";"Huile sur cuivre doré";0;"Provinces-Unies";0
"PU1641SaenRijks";"Décor";;"Mixtion ";"Provinces-Unies";"Mixtion";0;"Provinces-Unies";0
"PU1641SaenRijks";"Décor";;"Glacis";"Provinces-Unies";"Glacis";0;"Provinces-Unies";0
"Ita1500ARomSMSM";"Fond d'or";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1500ARomSMSM";"Vêtement";;"Coquille";"Péninsule italienne";"Coquille";0;"Péninsule italienne";0
"Ita1505SGattiAQMNaz";"Fond d'or";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1505SGattiAQMNaz";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1505SGattiAQMNaz";"Vêtement";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1511MAqRietiMC";"Fond d'or";;"Bol (?)";"Péninsule italienne";"Bol";1;"Péninsule italienne";0
"Ita1511MAqRietiMC";"Attribut religieux";"Nimbe";"Bol ";"Péninsule italienne";"Bol";1;"Péninsule italienne";0
"Ita1511MAqRietiMC";"Attribut religieux";"Nimbe";"Poinçon (?)";"Péninsule italienne";"Poinçon";1;"Péninsule italienne";0
"Ita1511MAqRietiMC";"Attribut religieux";"Gloire";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1511MAqRietiMC";"Vêtement";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
"Ita1508AnoRMSJeanLatran";"Cadre";;"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1508AnoRMSJeanLatran";"Attribut religieux";"Nimbe";"Mixtion (?)";"Péninsule italienne";"Mixtion";1;"Péninsule italienne";0
"Ita1537BecLou01";"Lumière";;"Feuille (?)";"Péninsule italienne";"Feuille";1;"Péninsule italienne";0
"Ita1537BecLou02";"Attribut religieux";"Nimbe";"Feuille (?)";"Péninsule italienne";"Feuille";1;"Péninsule italienne";0
"Ita1460AnoLou";"Armoirie";;"Coquille (?)";"Péninsule italienne";"Coquille";1;"Péninsule italienne";0
