"dcterms:identifier";"aorum:gildingGenericTerm";"aorum:gildingSpecificTerm";"aorum:gildingTechnique";"dcterms:spatial";"aorum:harmonise";"aorum:incertitude";"aorum:spatialharmonise";"aorum:spatialincertitude"
"PBa1515CdCoMMIPO";"Inscription";"Chrysographie";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"PBa1515CdCoMMIPO";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas (XVIᵉ s)";"Mixtion";1;"Pays-Bas (XVIᵉ s)";0
"Por1591DTeixMMIPO01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1591DTeixMMIPO02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1591DTeixMMIPO03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1647JAyaMNSR";"Attribut religieux";"Nimbe";"Or coquille (?)";"Portugal";"Coquille";1;"Portugal";0
"Por1520FCarloMNSR";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"PBa1500WMuelMNSR";"Fond d'or";;"Sur bol (?)";"Pays-Bas (XVIᵉ s)";"Bol";1;"Pays-Bas (XVIᵉ s)";0
"Por1511VFernaMNSR01";"Inscription";"Chrysographie";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1511VFernaMNSR01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1511VFernaMNSR02";"Inscription";"Chrysographie";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1511VFernaMNSR02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1500AnoMNSR01";"Vêtement";;"Or coquille (?)";"Japon";"Coquille";1;"Japon";0
"Por1500AnoMNSR01";"Parure";"Bijou";"Or coquille (?)";"Japon";"Coquille";1;"Japon";0
"PBE1600AnoMNSR";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays-Bas espagnols (XVIIᵉ s)";"Mixtion";1;"Pays-Bas espagnols (XVIIᵉ s)";0
"PBE1600AnoMNSR";"Vêtement";;"Mixtion (?)";"Pays-Bas espagnols (XVIIᵉ s)";"Mixtion";1;"Pays-Bas espagnols (XVIIᵉ s)";0
"Por1500AnoMNSR02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA04";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA05";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA05";"Attribut";"Attribut clérical";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA01";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA01";"Cadre";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA01";"Décor";"Architecture";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA02";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA03";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA04";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA05";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA06";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1515JAfoMNAA07";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA06";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1508FHenrMNAA06";"Lumière";;"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
