"dcterms:identifier";"dcterms:spatial";"aorum:cityOfCreation";"spatial:harmonise";"spatial:incertain";"cityOfCreation:harmonise";"cityOfCreation:incertain"
"Por1508FHenrMNAA04";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1508FHenrMNAA05";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1515JAfoMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1515JAfoMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1515JAfoMNAA03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1515JAfoMNAA04";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1515JAfoMNAA05";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1515JAfoMNAA06";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1515JAfoMNAA07";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1508FHenrMNAA06";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520AnoMNAA01";"Portugal";"Lisbonne";"Portugal";0;"Lisbonne";0
"Por1515MdLouMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1523GLopMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1523GLopMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1523GLopMNAA03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1523GLopMNAA04";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1523GLopMNAA05";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1523GLopMNAA06";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1523GLopMNAA07";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1523GLopMNAA08";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1523GLopMNAA09";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1529FCarloMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520FCarloMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520FCarloMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520FCarloMNAA03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520FCarloMNAA04";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1525VFernaMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520VGilMNAA";"Portugal";"Coimbra";"Portugal";0;"Coimbra";0
"Por1521FigueMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"PBa1500AnoMNAA01";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1500AnoMNAA02";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1500AnoMNAA03";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"Ita1500AnoMNAA01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1510CsSMNAA";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1515LMaMNAA";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1500AnoMNAA02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"PBa1510QMetMNAA";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1520AnoMNAA01";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1550AnoMNAA01";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"Ita1602AlloMNAA";"Péninsule italienne";"Florence";"Péninsule italienne";0;"Florence";0
"SEm1490MGrossPraCSA";"Pays germaniques";"Salzbourg";"Pays germaniques";0;"Salzbourg";0
"SEm1480AnoPraCSA";"Pays germaniques";"Nuremberg (?)";"Pays germaniques";0;"Nuremberg";1
"SEm1540MIWPraCSA";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"Por1592DTeixMMIPO";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1608AnoMMIPO";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"SEm1500MLAPraCSA01";"Pays germaniques";"Prague (?)";"Pays germaniques";0;"Prague";1
"SEm1520LCaPraCSA";"Pays germaniques";"Wittenberg";"Pays germaniques";0;"Wittenberg";0
"SEm1520GHerlPraCSA";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1500MLAPraCSA02";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1515MLAPraCSA01";"Pays germaniques";"Prague";"Pays germaniques";0;"Prague";0
"SEm1515MLAPraCSA02";"Pays germaniques";"Prague";"Pays germaniques";0;"Prague";0
"SEm1525AAlPraCSA";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1512LCaPraCSA";"Pays germaniques";"Wittenberg";"Pays germaniques";0;"Wittenberg";0
"SEm1500MHKAPraCSA";"Pays germaniques";"Chrudim";"Pays germaniques";0;"Chrudim";0
"SEm1510AnoPraCSA01";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"PBa1475AnoMNAA01";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1500AnoMNAA04";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1475AnoMNAA02";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1500AnoMNAA05";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1500AnoMNAA06";"Pays-Bas (XVIᵉ s)";"Cologne (?)";"Pays-Bas (XVIᵉ s)";0;"Cologne";1
"PBa1500AnoMNAA07";"Pays-Bas (XVIᵉ s)";"Cologne (?)";"Pays-Bas (XVIᵉ s)";0;"Cologne";1
"Esp1490AnoMNAA";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Esp1495AnoMNAA";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Esp1500AnoMNAA01";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Esp1500AnoMNAA02";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Esp1500AnoMNAA03";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Esp1500AnoMNAA04";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"PBa1509QMetMNAA01";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1509QMetMNAA02";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1509QMetMNAA03";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1520AnoMNAA";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"SEm1510MLAPraCSA01";"Pays germaniques";"Prague";"Pays germaniques";0;"Prague";0
