"dcterms:identifier";"dcterms:spatial";"aorum:cityOfCreation";"spatial:harmonise";"spatial:incertain";"cityOfCreation:harmonise";"cityOfCreation:incertain"
"Ita1502PVenPraPS";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1495LBreaPraPSt01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1495LBreaPraPSt02";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ita1510DFerrPraPSt";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"PBa1482EngePraPSt";"Pays-Bas (XVIᵉ s)";"Leyde (?)";"Pays-Bas (XVIᵉ s)";0;"Leyde";1
"PBa1525AnoPraPSt";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1510AnoPraPSt";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1493MFrPraPSt";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"SEm1506MGutJPraPSt";"Pays germaniques";"Constance (?)";"Pays germaniques";0;"Constance";1
"SEm1516HBGPraPSt";"Pays germaniques";"Fribourg";"Pays germaniques";0;"Fribourg";0
"SEm1499HRaphPraPSt01";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt02";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt03";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt04";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt05";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt06";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt07";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt08";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt09";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt10";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt11";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt12";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
"SEm1499HRaphPraPSt13";"Pays germaniques";"Göttingen";"Pays germaniques";0;"Göttingen";0
