lambda_nm;Rnorm_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt2_bruni_verni_tot;DR_eprouvette_2_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;DR_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;Rnorm_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_3_detrempe_pt2_bruni_verni_tot;DR_eprouvette_3_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_5_mixtion_pt1_tot;DR_eprouvette_5_mixtion_pt1_tot;Rnorm_eprouvette_6_coquille_pt1_liant_verni_tot;DR_eprouvette_6_coquille_pt1_liant_verni_tot;Rnorm_eprouvette_6_coquille_pt2_liant_eau_tot;DR_eprouvette_6_coquille_pt2_liant_eau_tot
403,5;14,9033;0,017951;11,5958;0,016181;2,15944;0,000912552;2,1491;0,00110899;6,16602;0,00593622;3,98992;3,6542E-3;4,69908;0,00468592;1,3608;0,0021564;0,698994;0,00203682
403,6;14,9042;0,0181545;11,5969;0,0163916;2,15955;0,000939164;2,14927;0,0011147;6,16638;0,00601753;3,99027;0,00370435;4,69934;0,00474417;1,36093;0,00217888;0,699238;0,00205315
403,7;14,9056;0,0183768;11,5984;0,0166196;2,15968;0,000967396;2,14946;0,00112329;6,16687;0,00610642;3,99069;0,00375899;4,69971;0,00480688;1,36108;0,00220454;0,699493;0,00206911
403,8;14,9075;0,0186187;11,6002;0,0168658;2,15986;0,000997303;2,14965;0,00113519;6,1675;0,00620306;3,99119;0,00381794;4,70019;0,00487441;1,36125;0,00223396;0,699756;0,00208507
403,9;14,9099;0,0188812;11,6025;0,017131;2,16006;0,00102894;2,14984;0,00115082;6,16829;0,00630761;3,99178;0,0038811;4,70082;0,00494709;1,36144;0,00226774;0,700026;0,00210141
404;14,9128;0,0191651;11,6051;0,0174157;2,1603;0,00106236;2,15004;0,00117061;6,16927;0,00642023;3,99246;0,00394836;4,70159;0,00502527;1,36165;0,00230647;0,700303;0,0021185
404,1;14,9164;0,0194711;11,6083;0,0177208;2,16056;0,00109758;2,15023;0,00119493;6,17043;0,00654103;3,99323;0,0040196;4,70251;0,00510925;1,36188;0,00235065;0,700584;0,0021367
404,2;14,9206;0,0197992;11,6119;0,0180459;2,16085;0,00113448;2,15043;0,00122389;6,17176;0,00666987;3,99408;0,00409469;4,70358;0,00519909;1,36213;0,0024004;0,70087;0,0021562
404,3;14,9253;0,0201481;11,6158;0,0183901;2,16116;0,00117277;2,15063;0,00125734;6,17324;0,00680636;3,99501;0,00417348;4,70476;0,00529458;1,3624;0,00245544;0,701162;0,00217705
404,4;14,9303;0,0205168;11,62;0,0187523;2,1615;0,00121212;2,15085;0,00129511;6,17484;0,00695005;3,99599;0,00425583;4,70603;0,00539549;1,36268;0,0025154;0,701462;0,00219925
